ID_Paquete,Cliente,Ciudad_Destino,Ciudad_Válida,Latitud,Longitud,Peso_kg,Volumen_Paquete_m3,Dirección
1,José Mari Amat,Neiva,True,2.885001,-75.183049,52.26,0.75,"Calle 88 #57-2, Neiva, Huila, Colombia"
2,Paca Ureña,Ibagué,True,4.335825,-75.289069,52.31,0.46,"Calle 74 #40-46, Ibagué, Tolima, Colombia"
3,Clementina Vicenta Herranz Fuentes,Ibagué,True,4.418411,-75.248201,79.24,2.64,"Calle 32 #41-47, Ibagué, Tolima, Colombia"
4,Nicolasa Candela Falcón Suárez,Tunja,True,5.575592,-73.458713,75.66,2.23,"Calle 52 #72-82, Tunja, Boyacá, Colombia"
5,Iván Carranza Gabaldón,Neiva,True,2.991595,-75.352032,18.88,1.94,"Calle 79 #44-11, Neiva, Huila, Colombia"
6,Edmundo del Daza,Neiva,True,2.849283,-75.380364,72.26,0.96,"Calle 116 #20-68, Neiva, Huila, Colombia"
7,Hilario Viñas Segarra,Bucaramanga,True,7.085423,-73.136456,56.25,1.65,"Calle 25 #93-9, Bucaramanga, Santander, Colombia"
8,Dionisia Ramírez-Haro,Pereira,True,4.755695,-75.603871,27.15,0.54,"Calle 110 #88-74, Pereira, Risaralda, Colombia"
9,Rafa Ocaña-Roma,Cali,True,3.321813,-76.480835,2.24,1.86,"Calle 78 #62-42, Cali, Valle del Cauca, Colombia"
10,Severo Guitart Lluch,Cali,True,3.308125,-76.419074,19.27,2.21,"Calle 105 #33-85, Cali, Valle del Cauca, Colombia"
11,Gerónimo José Antonio Méndez Quero,Neiva,True,2.958331,-75.109845,33.76,2.5,"Calle 107 #86-71, Neiva, Huila, Colombia"
12,Felipa Castellanos Planas,Bogotá,True,4.65092,-74.042074,70.49,2.45,"Calle 62 #38-7, Bogotá, Cundinamarca, Colombia"
13,Aitana Antúnez Gelabert,Pasto,True,1.154618,-77.372682,2.71,2.04,"Calle 110 #33-89, Pasto, Nariño, Colombia"
14,Loreto Ballester,Ibagué,True,4.420331,-75.252449,54.35,0.66,"Calle 2 #41-19, Ibagué, Tolima, Colombia"
15,Rodolfo Pi Rivera,Ibagué,True,4.447695,-75.11662,67.35,1.96,"Calle 96 #93-44, Ibagué, Tolima, Colombia"
16,Rosario Rivero Alcolea,Pereira,True,4.830352,-75.631684,32.46,0.96,"Calle 58 #68-47, Pereira, Risaralda, Colombia"
17,Bernardo Conde,Armenia,True,4.647399,-75.70382,17.58,2.17,"Calle 14 #97-16, Armenia, Quindío, Colombia"
18,Victoriano Sanchez-Farré,Tunja,True,5.513917,-73.450455,9.27,1.67,"Calle 90 #46-78, Tunja, Boyacá, Colombia"
19,José Ángel Cortés,Ibagué,True,4.387393,-75.111706,24.58,0.67,"Calle 24 #70-74, Ibagué, Tolima, Colombia"
20,Manolo de Alvarez,Bucaramanga,True,7.172681,-73.01743,25.89,1.27,"Calle 79 #57-85, Bucaramanga, Santander, Colombia"
21,Federico Duarte Manrique,Pasto,True,1.192151,-77.32644,27.68,0.72,"Calle 100 #56-10, Pasto, Nariño, Colombia"
22,Felipe Fernandez Malo,Medellín,True,6.13267,-75.67784,15.25,2.17,"Calle 18 #29-35, Medellín, Antioquia, Colombia"
23,Ernesto del Pinedo,Villavicencio,True,4.08404,-73.510627,66.64,2.49,"Calle 2 #52-10, Villavicencio, Meta, Colombia"
24,Samanta Carmona Alcalde,Tunja,True,5.509991,-73.22602,40.63,2.74,"Calle 111 #18-38, Tunja, Boyacá, Colombia"
25,Arsenio Ribera Azcona,Bucaramanga,True,7.15885,-73.161002,64.49,2.8,"Calle 106 #87-11, Bucaramanga, Santander, Colombia"
26,Galo Sola Cortés,Cali,True,3.432301,-76.536297,54.6,2.49,"Calle 60 #5-24, Cali, Valle del Cauca, Colombia"
27,Esther Mayo Olivera,Bogotá,True,4.645916,-74.15505,36.36,0.44,"Calle 31 #30-68, Bogotá, Cundinamarca, Colombia"
28,Urbano Salinas-Perera,Bogotá,True,4.618641,-74.082592,58.37,2.65,"Calle 57 #35-19, Bogotá, Cundinamarca, Colombia"
