ID_Paquete,Cliente,Ciudad_Destino,Peso_kg,Volumen_m3,Deposito_Origen,Ruta,Km_Total,Num_Paradas
1,José Mari Amat,Neiva,52.26,0.75,Ibague,Ibague -> Neiva,211.0,1
2,Paca Ureña,Ibagué,52.31,0.46,,NO EXISTE EN GRAFO,,0
3,Clementina Vicenta Herranz Fuentes,Ibagué,79.24,2.64,,NO EXISTE EN GRAFO,,0
4,Nicolasa Candela Falcón Suárez,Tunja,75.66,2.23,Bogota,Bogota -> Tunja,139.0,1
5,Iván Carranza Gabaldón,Neiva,18.88,1.94,Ibague,Ibague -> Neiva,211.0,1
6,Edmundo del Daza,Neiva,72.26,0.96,Ibague,Ibague -> Neiva,211.0,1
7,Hilario Viñas Segarra,Bucaramanga,56.25,1.65,Bucaramanga,Bucaramanga,0.0,0
8,Dionisia Ramírez-Haro,Pereira,27.15,0.54,Pereira,Pereira,0.0,0
9,Rafa Ocaña-Roma,Cali,2.24,1.86,Bogota,Bogota -> Cali,458.0,1
10,Severo Guitart Lluch,Cali,19.27,2.21,Bogota,Bogota -> Cali,458.0,1
11,Gerónimo José Antonio Méndez Quero,Neiva,33.76,2.5,Ibague,Ibague -> Neiva,211.0,1
12,Felipa Castellanos Planas,Bogotá,70.49,2.45,,NO EXISTE EN GRAFO,,0
13,Aitana Antúnez Gelabert,Pasto,2.71,2.04,Bogota,Bogota -> Cali -> Pasto,844.0,2
14,Loreto Ballester,Ibagué,54.35,0.66,,NO EXISTE EN GRAFO,,0
15,Rodolfo Pi Rivera,Ibagué,67.35,1.96,,NO EXISTE EN GRAFO,,0
16,Rosario Rivero Alcolea,Pereira,32.46,0.96,Pereira,Pereira,0.0,0
17,Bernardo Conde,Armenia,17.58,2.17,Ibague,Ibague -> Armenia,5.4,1
18,Victoriano Sanchez-Farré,Tunja,9.27,1.67,Bogota,Bogota -> Tunja,139.0,1
19,José Ángel Cortés,Ibagué,24.58,0.67,,NO EXISTE EN GRAFO,,0
20,Manolo de Alvarez,Bucaramanga,25.89,1.27,Bucaramanga,Bucaramanga,0.0,0
21,Federico Duarte Manrique,Pasto,27.68,0.72,Bogota,Bogota -> Cali -> Pasto,844.0,2
22,Felipe Fernandez Malo,Medellín,15.25,2.17,,NO EXISTE EN GRAFO,,0
23,Ernesto del Pinedo,Villavicencio,66.64,2.49,Bogota,Bogota -> Villavicencio,123.0,1
24,Samanta Carmona Alcalde,Tunja,40.63,2.74,Bogota,Bogota -> Tunja,139.0,1
25,Arsenio Ribera Azcona,Bucaramanga,64.49,2.8,Bucaramanga,Bucaramanga,0.0,0
26,Galo Sola Cortés,Cali,54.6,2.49,Bogota,Bogota -> Cali,458.0,1
27,Esther Mayo Olivera,Bogotá,36.36,0.44,,NO EXISTE EN GRAFO,,0
28,Urbano Salinas-Perera,Bogotá,58.37,2.65,,NO EXISTE EN GRAFO,,0
29,Josefa Javiera Andrade Sandoval,Armenia,11.05,1.87,Ibague,Ibague -> Armenia,5.4,1
30,Emperatriz Alfaro Baena,Pereira,28.45,2.85,Pereira,Pereira,0.0,0
31,Purificación Torrents-Montoya,Villavicencio,40.16,1.26,Bogota,Bogota -> Villavicencio,123.0,1
32,Benjamín Valdés Bermejo,Santa Marta,12.49,0.56,,NO EXISTE EN GRAFO,,0
33,Tatiana Gelabert Román,Barranquilla,39.58,0.56,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
34,Trinidad Carrasco,Ibagué,64.47,0.83,,NO EXISTE EN GRAFO,,0
35,Omar Arias Galiano,Pasto,70.59,1.31,Bogota,Bogota -> Cali -> Pasto,844.0,2
36,Ágata Giménez Verdugo,Barranquilla,32.01,1.18,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
37,Gilberto Castells-Poza,Pereira,47.97,0.77,Pereira,Pereira,0.0,0
38,Eutimio Maza,Pereira,26.35,0.18,Pereira,Pereira,0.0,0
39,Nando Bueno Carro,Barranquilla,77.61,1.39,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
40,Maximiano Valentín Bautista Castañeda,Villavicencio,67.39,0.86,Bogota,Bogota -> Villavicencio,123.0,1
41,Isaac del Mármol,Barranquilla,78.63,1.66,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
42,Amaro del Guillen,Pereira,60.22,1.19,Pereira,Pereira,0.0,0
43,Berta Casas Pol,Pereira,68.58,2.28,Pereira,Pereira,0.0,0
44,Juan Luis Valera Blasco,Pasto,20.67,0.88,Bogota,Bogota -> Cali -> Pasto,844.0,2
45,Rafa Bernal Egea,Tunja,78.74,0.78,Bogota,Bogota -> Tunja,139.0,1
46,Florina Gibert Blanch,Ibagué,46.7,2.12,,NO EXISTE EN GRAFO,,0
47,Armida Olivera Jódar,Bogotá,53.58,1.87,,NO EXISTE EN GRAFO,,0
48,Carmela Batlle Calderon,Pereira,53.58,0.95,Pereira,Pereira,0.0,0
49,Olimpia Torre-Cózar,Armenia,44.78,1.31,Ibague,Ibague -> Armenia,5.4,1
50,Jose Angel del Saez,Cali,47.37,0.31,Bogota,Bogota -> Cali,458.0,1
51,Calisto Rueda Bertrán,Ibagué,45.69,0.03,,NO EXISTE EN GRAFO,,0
52,Francisco López Valenciano,Bogotá,37.94,1.43,,NO EXISTE EN GRAFO,,0
53,Felipe Luz Comas,Bogotá,74.14,1.14,,NO EXISTE EN GRAFO,,0
54,Amada Escribano,Villavicencio,20.94,0.97,Bogota,Bogota -> Villavicencio,123.0,1
55,Martina Gras-Verdugo,Bogotá,75.6,0.5,,NO EXISTE EN GRAFO,,0
56,Balduino Matas-Espada,Cartagena,0.41,2.42,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
57,Petrona de Belda,Bucaramanga,2.41,2.05,Bucaramanga,Bucaramanga,0.0,0
58,Emiliano Méndez Barrios,Bogotá,77.29,1.9,,NO EXISTE EN GRAFO,,0
59,Victorino Llano Garriga,Bogotá,54.88,2.28,,NO EXISTE EN GRAFO,,0
60,Celestina Portillo,Santa Marta,57.99,1.54,,NO EXISTE EN GRAFO,,0
61,Eladio Gálvez Barros,Barranquilla,76.83,0.37,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
62,Rómulo Ureña Beltrán,Manizales,73.35,0.54,Ibague,Ibague -> Manizales,163.0,1
63,Benito Vélez-Zurita,Armenia,44.65,2.29,Ibague,Ibague -> Armenia,5.4,1
64,César Álvarez Arnaiz,Ibagué,31.68,1.16,,NO EXISTE EN GRAFO,,0
65,Amada de Aragón,Ibagué,28.56,0.29,,NO EXISTE EN GRAFO,,0
66,Edu García Anaya,Ibagué,66.75,0.26,,NO EXISTE EN GRAFO,,0
67,Palmira Calatayud Giménez,Armenia,45.03,0.21,Ibague,Ibague -> Armenia,5.4,1
68,Jose Ramón Pla,Cali,22.48,2.36,Bogota,Bogota -> Cali,458.0,1
69,Graciano Bertrán Coll,Armenia,66.4,1.84,Ibague,Ibague -> Armenia,5.4,1
70,Gerardo Alemán Borrell,Bogotá,44.84,2.02,,NO EXISTE EN GRAFO,,0
71,Gema Vargas-Yáñez,Santa Marta,22.75,2.68,,NO EXISTE EN GRAFO,,0
72,Angélica Menéndez-Arribas,Manizales,48.83,2.07,Ibague,Ibague -> Manizales,163.0,1
73,Gustavo Pascual Vizcaíno,Bogotá,48.16,0.27,,NO EXISTE EN GRAFO,,0
74,Silvia Mariscal,Santa Marta,79.01,0.84,,NO EXISTE EN GRAFO,,0
75,Nicodemo del Ferrera,Barranquilla,9.39,1.77,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
76,Nereida Gil Burgos,Bogotá,21.87,1.05,,NO EXISTE EN GRAFO,,0
77,Herminio Iborra,Barranquilla,41.51,0.44,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
78,Clemente Novoa Vizcaíno,Manizales,38.55,0.32,Ibague,Ibague -> Manizales,163.0,1
79,Juanito Amo Belda,Santa Marta,73.17,1.1,,NO EXISTE EN GRAFO,,0
80,Modesto Noriega Figueroa,Bogotá,65.94,2.08,,NO EXISTE EN GRAFO,,0
81,Gonzalo Echevarría Lluch,Manizales,33.73,1.83,Ibague,Ibague -> Manizales,163.0,1
82,Bienvenida Aliaga Madrid,Medellín,44.86,1.95,,NO EXISTE EN GRAFO,,0
83,Cayetana Boix,Barranquilla,41.93,0.36,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
84,León Agullo Barriga,Manizales,39.15,1.81,Ibague,Ibague -> Manizales,163.0,1
85,Clementina Vicens Roura,Ibagué,60.5,2.5,,NO EXISTE EN GRAFO,,0
86,Ariel Carolina Giner Pazos,Pereira,79.69,2.57,Pereira,Pereira,0.0,0
87,Calista Campillo Feliu,Pereira,8.02,0.08,Pereira,Pereira,0.0,0
88,Aura Torrijos Navarro,Cartagena,51.43,1.59,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
89,Pacífica de Molins,Santa Marta,17.66,0.94,,NO EXISTE EN GRAFO,,0
90,Leonel del Durán,Barranquilla,46.49,1.73,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
91,Rico Borja Escamilla,Armenia,75.07,1.73,Ibague,Ibague -> Armenia,5.4,1
92,Aitana Mariscal Chaparro,Barranquilla,63.52,0.79,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
93,Graciano Bernat,Bogotá,39.49,2.14,,NO EXISTE EN GRAFO,,0
94,Salomé Sureda Mateos,Cali,61.83,1.65,Bogota,Bogota -> Cali,458.0,1
95,Mario Jerez,Tunja,56.46,0.8,Bogota,Bogota -> Tunja,139.0,1
96,Alejandra Vicente Oliveras,Pereira,13.32,1.99,Pereira,Pereira,0.0,0
97,Claudio Leonel Cervantes Lopez,Neiva,16.86,0.27,Ibague,Ibague -> Neiva,211.0,1
98,Sergio Artigas Sabater,Armenia,47.04,0.06,Ibague,Ibague -> Armenia,5.4,1
99,Jeremías Nieto Jordán,Medellín,18.17,2.98,,NO EXISTE EN GRAFO,,0
100,Rosa María Casanova-Iñiguez,Ibagué,43.01,1.87,,NO EXISTE EN GRAFO,,0
101,Salvador Codina Mulet,Santa Marta,79.3,2.1,,NO EXISTE EN GRAFO,,0
102,Arturo Jáuregui Albero,Santa Marta,50.92,2.36,,NO EXISTE EN GRAFO,,0
103,Jose Ramón Sandalio Oller Salas,Tunja,68.04,0.68,Bogota,Bogota -> Tunja,139.0,1
104,Baudelio Marti-Valls,Pereira,49.24,1.34,Pereira,Pereira,0.0,0
105,Lidia Cervera Valero,Tunja,30.51,0.24,Bogota,Bogota -> Tunja,139.0,1
106,Juana Adoración Roda Vallés,Pasto,21.25,2.68,Bogota,Bogota -> Cali -> Pasto,844.0,2
107,Carina del Torralba,Bogotá,2.04,1.82,,NO EXISTE EN GRAFO,,0
108,Felix Mariño Roca,Cartagena,3.39,1.32,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
109,Bruno Duran Acedo,Santa Marta,13.25,1.89,,NO EXISTE EN GRAFO,,0
110,Hernando del Galan,Tunja,27.25,2.44,Bogota,Bogota -> Tunja,139.0,1
111,Magdalena Pedrosa Tapia,Villavicencio,66.52,2.79,Bogota,Bogota -> Villavicencio,123.0,1
112,Cristóbal Pomares Olmedo,Barranquilla,38.6,0.06,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
113,Noemí Murcia Moraleda,Bogotá,32.55,0.76,,NO EXISTE EN GRAFO,,0
114,Antonia Recio Campoy,Ibagué,51.58,0.52,,NO EXISTE EN GRAFO,,0
115,Curro Villar Grau,Cali,71.22,1.2,Bogota,Bogota -> Cali,458.0,1
116,Maxi Riquelme-Vives,Manizales,78.74,1.36,Ibague,Ibague -> Manizales,163.0,1
117,Hilda del Garay,Cartagena,34.41,2.28,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
118,Casemiro Miguel Carpio,Tunja,36.47,2.35,Bogota,Bogota -> Tunja,139.0,1
119,Brígida Vara Aguirre,Santa Marta,45.96,0.42,,NO EXISTE EN GRAFO,,0
120,Mar Palomino Piquer,Armenia,24.75,2.69,Ibague,Ibague -> Armenia,5.4,1
121,Rocío Adadia-Hervás,Pereira,44.24,0.53,Pereira,Pereira,0.0,0
122,Omar Valderrama Palma,Cali,26.77,0.94,Bogota,Bogota -> Cali,458.0,1
123,Gilberto Losa Machado,Medellín,57.69,0.78,,NO EXISTE EN GRAFO,,0
124,Dorotea Sánchez Ángel,Medellín,26.93,1.88,,NO EXISTE EN GRAFO,,0
125,Candela Nogueira-Manzano,Cali,32.59,0.63,Bogota,Bogota -> Cali,458.0,1
126,Fabián Eloy Cerezo Soto,Bogotá,32.36,1.84,,NO EXISTE EN GRAFO,,0
127,Ana Sofía Sacristán Cases,Ibagué,33.94,2.76,,NO EXISTE EN GRAFO,,0
128,Sara Alberola,Manizales,45.53,0.35,Ibague,Ibague -> Manizales,163.0,1
129,Amor Salom Alonso,Cali,64.71,1.37,Bogota,Bogota -> Cali,458.0,1
130,Carmelo Rivas Vilaplana,Pasto,15.75,2.16,Bogota,Bogota -> Cali -> Pasto,844.0,2
131,Xiomara Fabiola Rodríguez Pino,Cali,52.21,1.46,Bogota,Bogota -> Cali,458.0,1
132,Áurea Perez Almagro,Ibagué,44.76,0.95,,NO EXISTE EN GRAFO,,0
133,Paloma Gabaldón Calvet,Pasto,3.81,2.5,Bogota,Bogota -> Cali -> Pasto,844.0,2
134,Mateo Alonso Morera Romero,Villavicencio,54.53,2.92,Bogota,Bogota -> Villavicencio,123.0,1
135,Rosenda Acedo Carballo,Pereira,47.55,0.51,Pereira,Pereira,0.0,0
136,María Cristina Arenas Echevarría,Cartagena,55.75,0.66,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
137,Guadalupe Fabregat,Bucaramanga,35.93,1.94,Bucaramanga,Bucaramanga,0.0,0
138,Enrique Losa Mancebo,Villavicencio,29.52,1.18,Bogota,Bogota -> Villavicencio,123.0,1
139,Andrés Felipe Carnero Coloma,Santa Marta,39.48,1.17,,NO EXISTE EN GRAFO,,0
